rebalance_date,rank,symbol,trailing_90d_median_yahoo_dollar_volume,valid_volume_obs_90d
2021-01-01,1,BTC-USD,34298065707.5,90
2021-01-01,2,ETH-USD,14036488881.5,90
2021-01-01,3,XRP-USD,5297277164.5,90
2021-01-01,4,LTC-USD,3800395553.0,90
2021-01-01,5,BCH-USD,2394786191.5,90
2021-01-01,6,EOS-USD,2299135508.5,90
2021-01-01,7,LINK-USD,1369994562.0,90
2021-01-01,8,XMR-USD,975060986.0,90
2021-01-01,9,TRX-USD,944960491.5,90
2021-01-01,10,ADA-USD,839499928.5,90
2021-01-01,11,BSV-USD,690681469.5,90
2021-01-01,12,ETC-USD,676452204.0,90
2021-01-01,13,DASH-USD,483874826.0,90
2021-01-01,14,ZEC-USD,475497537.0,90
2021-01-01,15,NEO-USD,456333362.5,90
2021-01-01,16,BNB-USD,405797678.0,90
2021-01-01,17,QTUM-USD,288745463.5,90
2021-01-01,18,XLM-USD,225634748.0,90
2021-01-01,19,XTZ-USD,164206229.5,90
2021-01-01,20,FIL-USD,162191431.0,90
2021-01-01,21,OMG-USD,159661595.0,90
2021-01-01,22,BAT-USD,153474302.5,90
2021-01-01,23,VET-USD,137390924.0,90
2021-01-01,24,ONT-USD,120186983.0,90
2021-01-01,25,HT-USD,103355378.0,90
2021-01-01,26,WAVES-USD,82230772.5,90
2021-01-01,27,DOGE-USD,64510599.0,90
2021-01-01,28,SNX-USD,61732855.0,90
2021-01-01,29,CRO-USD,53344812.5,90
2021-01-01,30,ABBC-USD,47460199.5,90
2021-01-01,31,REN-USD,46573823.5,90
2021-01-01,32,BNT-USD,46323444.0,90
2021-01-01,33,ZRX-USD,41971542.0,90
2021-01-01,34,XEM-USD,40674880.0,90
2021-01-01,35,MKR-USD,39152074.5,90
2021-01-01,36,ZIL-USD,34380472.5,90
2021-01-01,37,THETA-USD,31034625.5,90
2021-01-01,38,IOST-USD,29536425.5,90
2021-01-01,39,LRC-USD,22046588.5,90
2021-01-01,40,MANA-USD,19961877.0,90
2021-01-01,41,STORJ-USD,18658588.5,90
2021-01-01,42,CVC-USD,17827335.5,90
2021-01-01,43,ANT-USD,16078567.0,90
2021-01-01,44,ICX-USD,15575600.5,90
2021-01-01,45,ELF-USD,10282572.0,90
2021-01-01,46,BTM-USD,9910184.0,90
2021-01-01,47,NEXO-USD,9782969.5,90
2021-01-01,48,REP-USD,9611010.0,90
2021-01-01,49,AE-USD,8876332.0,90
2021-01-01,50,GXC-USD,8459871.5,90
2021-02-01,1,BTC-USD,44290322080.0,90
2021-02-01,2,ETH-USD,17587386717.0,90
2021-02-01,3,XRP-USD,7875218394.0,90
2021-02-01,4,LTC-USD,6338626048.5,90
2021-02-01,5,BCH-USD,4346562828.0,90
2021-02-01,6,EOS-USD,2616175875.5,90
2021-02-01,7,LINK-USD,1729172951.5,90
2021-02-01,8,ADA-USD,1439570967.5,90
2021-02-01,9,XMR-USD,1123553638.5,90
2021-02-01,10,ETC-USD,991215740.0,90
2021-02-01,11,TRX-USD,979142916.0,90
2021-02-01,12,BSV-USD,747256162.5,90
2021-02-01,13,XLM-USD,703804969.0,90
2021-02-01,14,DASH-USD,667659432.5,90
2021-02-01,15,NEO-USD,597855895.0,90
2021-02-01,16,ZEC-USD,498423565.0,90
2021-02-01,17,BNB-USD,458533678.0,90
2021-02-01,18,QTUM-USD,380471086.0,90
2021-02-01,19,XTZ-USD,225475959.0,90
2021-02-01,20,OMG-USD,219934772.5,90
2021-02-01,21,VET-USD,201434125.0,90
2021-02-01,22,FIL-USD,198126766.5,90
2021-02-01,23,BAT-USD,170576874.0,90
2021-02-01,24,HT-USD,140815309.5,90
2021-02-01,25,ONT-USD,134630648.5,90
2021-02-01,26,DOGE-USD,111729920.0,90
2021-02-01,27,XEM-USD,104857771.0,90
2021-02-01,28,WAVES-USD,104293497.5,90
2021-02-01,29,SNX-USD,95841541.0,90
2021-02-01,30,ZIL-USD,77828398.0,90
2021-02-01,31,BTTOLD-USD,76369099.0,90
2021-02-01,32,BTT-USD,76369099.0,90
2021-02-01,33,THETA-USD,57966816.0,90
2021-02-01,34,REN-USD,57662398.5,90
2021-02-01,35,ZRX-USD,53534935.5,90
2021-02-01,36,CRO-USD,52766373.0,90
2021-02-01,37,MKR-USD,49994932.0,90
2021-02-01,38,ABBC-USD,46310719.0,90
2021-02-01,39,BNT-USD,45243657.5,90
2021-02-01,40,IOST-USD,34909049.5,90
2021-02-01,41,CVC-USD,33231937.5,90
2021-02-01,42,ICX-USD,31871629.5,90
2021-02-01,43,MANA-USD,26859734.5,90
2021-02-01,44,LRC-USD,24498042.5,90
2021-02-01,45,ANT-USD,21227775.5,90
2021-02-01,46,STORJ-USD,21016197.5,90
2021-02-01,47,ELF-USD,15354382.0,90
2021-02-01,48,BTM-USD,13781417.5,90
2021-02-01,49,DGB-USD,13125549.0,90
2021-02-01,50,REP-USD,13022640.5,90
2021-03-01,1,BTC-USD,60711119814.5,90
2021-03-01,2,ETH-USD,30363183514.5,90
2021-03-01,3,XRP-USD,8783169191.0,90
2021-03-01,4,LTC-USD,8370251953.5,90
2021-03-01,5,BCH-USD,5414924433.5,90
2021-03-01,6,ADA-USD,3069827046.0,90
2021-03-01,7,EOS-USD,3066579716.0,90
2021-03-01,8,LINK-USD,2613487381.5,90
2021-03-01,9,XLM-USD,1508581828.5,90
2021-03-01,10,TRX-USD,1343716435.0,90
2021-03-01,11,ETC-USD,1135539984.5,90
2021-03-01,12,XMR-USD,1112647459.5,90
2021-03-01,13,BSV-USD,930105051.0,90
2021-03-01,14,ZEC-USD,814587750.5,90
2021-03-01,15,DASH-USD,795053033.5,90
2021-03-01,16,NEO-USD,794937423.0,90
2021-03-01,17,BNB-USD,588472648.0,90
2021-03-01,18,QTUM-USD,539524659.0,90
2021-03-01,19,DOGE-USD,396714044.5,90
2021-03-01,20,XTZ-USD,385243678.0,90
2021-03-01,21,VET-USD,353630427.5,90
2021-03-01,22,OMG-USD,348273802.5,90
2021-03-01,23,FIL-USD,271072344.0,90
2021-03-01,24,BAT-USD,258797727.5,90
2021-03-01,25,HT-USD,234847290.5,90
2021-03-01,26,SNX-USD,226583326.0,90
2021-03-01,27,ONT-USD,184909578.0,90
2021-03-01,28,IOST-USD,176536862.5,90
2021-03-01,29,ZIL-USD,159425714.5,90
2021-03-01,30,XEM-USD,148787556.0,90
2021-03-01,31,MKR-USD,146150967.0,90
2021-03-01,32,WAVES-USD,123770816.5,90
2021-03-01,33,BTT-USD,119687877.0,90
2021-03-01,34,BTTOLD-USD,119687877.0,90
2021-03-01,35,REN-USD,117339256.5,90
2021-03-01,36,THETA-USD,116918498.5,90
2021-03-01,37,ZRX-USD,116793864.0,90
2021-03-01,38,LRC-USD,80817126.5,90
2021-03-01,39,CRO-USD,71853083.0,90
2021-03-01,40,ICX-USD,70543292.0,90
2021-03-01,41,BNT-USD,53435609.5,90
2021-03-01,42,MANA-USD,51098551.5,90
2021-03-01,43,XNO-USD,48727428.5,90
2021-03-01,44,ABBC-USD,43124038.5,90
2021-03-01,45,CVC-USD,41827204.0,90
2021-03-01,46,ENJ-USD,39833952.0,90
2021-03-01,47,ANT-USD,37051734.5,90
2021-03-01,48,STORJ-USD,31295456.5,90
2021-03-01,49,SNT-USD,30761020.5,90
2021-03-01,50,ZEN-USD,29211528.5,90
2021-04-01,1,BTC-USD,61692281748.5,90
2021-04-01,2,ETH-USD,30922312853.5,90
2021-04-01,3,LTC-USD,7042876398.0,90
2021-04-01,4,XRP-USD,5602421904.5,90
2021-04-01,5,BCH-USD,4801102492.5,90
2021-04-01,6,ADA-USD,4553071225.5,90
2021-04-01,7,EOS-USD,2763434718.5,90
2021-04-01,8,LINK-USD,2654425672.0,90
2021-04-01,9,BNB-USD,2106919622.0,90
2021-04-01,10,TRX-USD,1750926193.5,90
2021-04-01,11,XLM-USD,1478488026.5,90
2021-04-01,12,DOGE-USD,1286998373.5,90
2021-04-01,13,ETC-USD,1210970278.5,90
2021-04-01,14,BSV-USD,1001403212.0,90
2021-04-01,15,XMR-USD,983138174.0,90
2021-04-01,16,NEO-USD,920818038.0,90
2021-04-01,17,DASH-USD,883944743.5,90
2021-04-01,18,ZEC-USD,814587750.5,90
2021-04-01,19,FIL-USD,714173224.0,90
2021-04-01,20,ATOM-USD,698255820.0,90
2021-04-01,21,VET-USD,619714420.0,90
2021-04-01,22,QTUM-USD,590482472.5,90
2021-04-01,23,HT-USD,489980421.5,90
2021-04-01,24,XTZ-USD,465430998.5,90
2021-04-01,25,OMG-USD,432978754.5,90
2021-04-01,26,BAT-USD,362253402.0,90
2021-04-01,27,IOST-USD,330990874.5,90
2021-04-01,28,ONT-USD,320929469.5,90
2021-04-01,29,BTTOLD-USD,282680516.5,90
2021-04-01,30,BTT-USD,282680516.5,90
2021-04-01,31,XEM-USD,234063355.5,90
2021-04-01,32,SNX-USD,221924393.0,90
2021-04-01,33,THETA-USD,193252533.0,90
2021-04-01,34,ZRX-USD,191599405.5,90
2021-04-01,35,ZIL-USD,182350814.5,90
2021-04-01,36,ENJ-USD,162089310.0,90
2021-04-01,37,CRO-USD,161765782.5,90
2021-04-01,38,REN-USD,150419650.5,90
2021-04-01,39,MANA-USD,148554049.0,90
2021-04-01,40,MKR-USD,148520475.5,90
2021-04-01,41,RVN-USD,129376213.5,90
2021-04-01,42,WAVES-USD,122391195.5,90
