symbol,shortName,longName,base_symbol_clean,exclude_reason
USDT-USD,Tether USDt USD,Tether USDt USD,USDT,stablecoin_base
USDC-USD,USDC USD,USD Coin USD,USDC,stablecoin_base
WETH-USD,WETH USD,WETH USD,WETH,wrapped_or_derivative_base
VBNB-USD,Venus BNB USD,,VBNB,wrapped_derivative_or_real_asset_name
USDE29470-USD,Ethena USDe USD,Ethena USDe USD,USDE,stablecoin_base
SOL16116-USD,Wrapped Solana USD,Wrapped Solana USD,SOL,wrapped_derivative_or_real_asset_name
WBNB-USD,Wrapped BNB USD,Wrapped BNB USD,WBNB,wrapped_or_derivative_base
FDUSD-USD,First Digital USD USD,,FDUSD,stablecoin_base
WBTC-USD,Wrapped Bitcoin USD,Wrapped Bitcoin USD,WBTC,wrapped_or_derivative_base
PAXG-USD,PAX Gold USD,PAX Gold USD,PAXG,tokenized_real_asset_base
PYUSD-USD,PayPal USD USD,PayPal USD USD,PYUSD,stablecoin_base
XAUT-USD,Tether Gold USD,Tether Gold USD,XAUT,tokenized_real_asset_base
USDD-USD,USDD USD,USDD USD,USDD,stablecoin_base
DAI-USD,Dai USD,Dai USD,DAI,stablecoin_base
SUSDE-USD,Ethena Staked USDe USD,Ethena Staked USDe USD,SUSDE,stablecoin_base
BTCB-USD,Bitcoin BEP2 USD,Bitcoin BEP2 USD,BTCB,wrapped_or_derivative_base
STETH-USD,Lido Staked ETH USD,Lido Staked ETH USD,STETH,wrapped_or_derivative_base
VCAKE28404-USD,Venus CAKE USD,Venus CAKE USD,VCAKE,wrapped_derivative_or_real_asset_name
WSTETH-USD,Lido wstETH USD,Lido wstETH USD,WSTETH,wrapped_or_derivative_base
WEETH-USD,Wrapped eETH USD,Wrapped eETH USD,WEETH,wrapped_or_derivative_base
WAVAX-USD,Wrapped AVAX USD,Wrapped AVAX USD,WAVAX,wrapped_or_derivative_base
VETH-USD,Venus ETH USD,Venus ETH USD,VETH,wrapped_derivative_or_real_asset_name
EURC-USD,EURC USD,,EURC,stablecoin_base
CRVUSD-USD,crvUSD USD,,CRVUSD,stablecoin_base
WTFUEL-USD,Wrapped TFUEL USD,Wrapped TFUEL USD,WTFUEL,wrapped_derivative_or_real_asset_name
TBTC26133-USD,tBTC USD,tBTC USD,TBTC,wrapped_or_derivative_base
USDCE-USD,USD Coin Bridged USD,USD Coin Bridged USD,USDCE,stablecoin_name
WTHETA-USD,Wrapped THETA USD,Wrapped THETA USD,WTHETA,wrapped_derivative_or_real_asset_name
VXVS-USD,Venus XVS USD,,VXVS,wrapped_derivative_or_real_asset_name
TUSD-USD,TrueUSD USD,TrueUSD USD,TUSD,stablecoin_base
WBETH-USD,Wrapped Beacon ETH USD,Wrapped Beacon ETH USD,WBETH,wrapped_or_derivative_base
VDOGE-USD,Venus Dogecoin USD,,VDOGE,wrapped_derivative_or_real_asset_name
UGOLD-USD,UGOLD Inc. USD,UGOLD Inc. USD,UGOLD,tokenized_real_asset_base
VLINK-USD,Venus LINK USD,,VLINK,wrapped_derivative_or_real_asset_name
VLTC-USD,Venus LTC USD,,VLTC,wrapped_derivative_or_real_asset_name
JITOSOL-USD,Jito Staked SOL USD,Jito Staked SOL USD,JITOSOL,wrapped_derivative_or_real_asset_name
VXRP-USD,Venus XRP USD,,VXRP,wrapped_derivative_or_real_asset_name
GUSD-USD,Gemini Dollar USD,Gemini Dollar USD,GUSD,stablecoin_base
XVS-USD,Venus USD,Venus USD,XVS,wrapped_derivative_or_real_asset_name
VDOT-USD,Venus DOT USD,,VDOT,wrapped_derivative_or_real_asset_name
BTCB20721-USD,Bitcoin Avalanche Bridged USD,Bitcoin Avalanche Bridged USD,BTCB,wrapped_or_derivative_base
AGLD-USD,Adventure Gold USD,Adventure Gold USD,AGLD,wrapped_derivative_or_real_asset_name
CBETH-USD,Coinbase Wrapped Staked ETH USD,Coinbase Wrapped Staked ETH USD,CBETH,wrapped_or_derivative_base
VFIL-USD,Venus Filecoin USD,,VFIL,wrapped_derivative_or_real_asset_name
LQTY-USD,Liquity USD,Liquity USD,LQTY,stablecoin_name
VUNI-USD,Venus UNI USD,Venus UNI USD,VUNI,wrapped_derivative_or_real_asset_name
VSXP-USD,Venus SXP USD,,VSXP,wrapped_derivative_or_real_asset_name
VDAI-USD,Venus DAI USD,,VDAI,stablecoin_name
VBCH-USD,Venus BCH USD,,VBCH,wrapped_derivative_or_real_asset_name
FRAX6953-USD,Frax (prev. FXS) USD,Frax (prev. FXS) USD,FRAX,stablecoin_base
USDP8886-USD,USDP Stablecoin USD,USDP Stablecoin USD,USDP,stablecoin_base
RETH-USD,Rocket Pool ETH USD,Rocket Pool ETH USD,RETH,wrapped_or_derivative_base
BETH-USD,Beacon ETH USD,Beacon ETH USD,BETH,wrapped_or_derivative_base
USDP-USD,Pax Dollar USD,Pax Dollar USD,USDP,stablecoin_base
WNEAR-USD,Wrapped Near USD,Wrapped Near USD,WNEAR,wrapped_or_derivative_base
SAVAX-USD,BENQI Liquid Staked AVAX USD,BENQI Liquid Staked AVAX USD,SAVAX,wrapped_derivative_or_real_asset_name
VAAVE-USD,Venus AAVE USD,Venus AAVE USD,VAAVE,wrapped_derivative_or_real_asset_name
STRX24875-USD,Staked TRX USD,Staked TRX USD,STRX,wrapped_derivative_or_real_asset_name
USTC-USD,TerraClassicUSD USD,TerraClassicUSD USD,USTC,stablecoin_base
VBUSD-USD,Venus BUSD USD,,VBUSD,wrapped_derivative_or_real_asset_name
WTRX-USD,Wrapped TRON USD,Wrapped TRON USD,WTRX,wrapped_derivative_or_real_asset_name
CGO-USD,Comtech Gold USD,Comtech Gold USD,CGO,wrapped_derivative_or_real_asset_name
USDS17285-USD,Sperax USD USD,Sperax USD USD,USDS,stablecoin_base
VBETH-USD,Venus BETH USD,Venus BETH USD,VBETH,wrapped_derivative_or_real_asset_name
MSOL-USD,Marinade Staked SOL USD,Marinade Staked SOL USD,MSOL,wrapped_derivative_or_real_asset_name
BUSD-USD,BUSD USD,BUSD USD,BUSD,stablecoin_base
WMATIC-USD,Wrapped Matic USD,Wrapped Matic USD,WMATIC,wrapped_derivative_or_real_asset_name
WCRO-USD,Wrapped CRO USD,Wrapped CRO USD,WCRO,wrapped_derivative_or_real_asset_name
VTRX-USD,Venus TRX USD,Venus TRX USD,VTRX,wrapped_derivative_or_real_asset_name
AXLUSDC-USD,Axelar Wrapped USDC USD,,AXLUSDC,stablecoin_name
FRXETH-USD,Frax Finance - Frax Ether USD,Frax Finance - Frax Ether USD,FRXETH,wrapped_or_derivative_base
OSETH-USD,StakeWise Staked ETH USD,StakeWise Staked ETH USD,OSETH,wrapped_or_derivative_base
XSGD-USD,XSGD USD,XSGD USD,XSGD,stablecoin_base
WNXM-USD,Wrapped NXM USD,Wrapped NXM USD,WNXM,wrapped_derivative_or_real_asset_name
OUSD-USD,Origin Dollar USD,Origin Dollar USD,OUSD,stablecoin_base
WMNT-USD,Wrapped Mantle USD,Wrapped Mantle USD,WMNT,wrapped_derivative_or_real_asset_name
USDBC-USD,Bridged USDC USD,Bridged USDC USD,USDBC,stablecoin_name
METH29035-USD,Mantle Staked Ether USD,Mantle Staked Ether USD,METH,wrapped_or_derivative_base
WXDAI-USD,Wrapped XDAI USD,,WXDAI,wrapped_derivative_or_real_asset_name
FRAX-USD,Legacy Frax Dollar USD,Legacy Frax Dollar USD,FRAX,stablecoin_base
CUSD-USD,Celo Dollar USD,Celo Dollar USD,CUSD,stablecoin_base
WDOGE-USD,Wrapped Dogecoin USD,Wrapped Dogecoin USD,WDOGE,wrapped_derivative_or_real_asset_name
USTC15610-USD,Terra Classic USD (Wormhole) USD,Terra Classic USD (Wormhole) USD,USTC,stablecoin_base
WOKB-USD,Wrapped OKB USD,Wrapped OKB USD,WOKB,wrapped_derivative_or_real_asset_name
SLISBNB-USD,Lista Staked BNB USD,Lista Staked BNB USD,SLISBNB,wrapped_derivative_or_real_asset_name
WXDC-USD,Wrapped XDC USD,Wrapped XDC USD,WXDC,wrapped_or_derivative_base
EZETH-USD,Renzo Restaked ETH USD,Renzo Restaked ETH USD,EZETH,wrapped_or_derivative_base
